4.69, 1.13, 0.02
4.86, 1.14, 0.04
4.23, 1.26, 0.04
4.23, 1.23, 0.07
4.17, 1.36, 0.08
4.63, 1.2, 0.11
4.4, 1.12, 0.12
4.39, 1.26, 0.15
4.25, 1.32, 0.16
4.83, 1.03, 0.17
4.38, 1.29, 0.2
4.67, 1.01, 0.22
4.9, 0.98, 0.23
4.24, 1.42, 0.24
4.49, 1.03, 0.24
4.69, 1.3, 0.28
4.55, 1.0, 0.28
4.21, 1.13, 0.28
4.28, 1.37, 0.29
4.12, 1.41, 0.29
4.28, 1.07, 0.3
4.1, 1.37, 0.31
4.15, 1.5, 0.37
4.49, 1.37, 0.39
4.89, 0.87, 0.4
4.51, 1.38, 0.41
4.07, 1.32, 0.41
4.62, 0.91, 0.41
4.41, 0.93, 0.46
4.14, 1.54, 0.47
4.07, 1.21, 0.47
4.35, 0.95, 0.47
4.74, 0.85, 0.48
4.13, 1.09, 0.49
4.7, 1.42, 0.49
4.51, 0.88, 0.51
4.66, 1.45, 0.53
4.52, 1.47, 0.56
4.87, 0.77, 0.57
4.32, 0.9, 0.58
4.2, 0.95, 0.63
4.62, 1.5, 0.63
4.74, 1.54, 0.68
4.56, 1.53, 0.69
4.0, 1.17, 0.7
4.49, 1.54, 0.7
4.4, 1.56, 0.73
4.52, 1.56, 0.73
4.47, 1.57, 0.76
4.38, 1.6, 0.8
4.3, 1.64, 0.83
4.53, 1.62, 0.84
4.93, 0.58, 0.85
4.78, 0.61, 0.85
3.92, 1.33, 0.89
4.63, 1.66, 0.9
4.1, 0.87, 0.91
4.46, 1.67, 0.94
3.91, 1.3, 0.94
4.34, 1.69, 0.96
4.47, 1.69, 0.97
4.28, 0.7, 0.98
4.94, 0.47, 1.03
4.57, 0.55, 1.04
3.98, 0.93, 1.06
4.65, 1.76, 1.07
3.89, 1.58, 1.07
3.99, 0.89, 1.08
4.01, 1.77, 1.08
3.93, 1.68, 1.08
4.0, 0.87, 1.09
3.97, 1.77, 1.13
4.48, 0.51, 1.16
4.26, 1.81, 1.17
4.8, 0.37, 1.22
4.89, 0.35, 1.22
4.98, 0.33, 1.22
4.35, 1.82, 1.22
4.45, 0.47, 1.23
4.89, 0.34, 1.24
4.32, 0.53, 1.24
4.66, 0.37, 1.28
3.96, 1.87, 1.32
3.83, 1.7, 1.32
4.08, 1.93, 1.34
4.17, 0.55, 1.34
3.9, 0.85, 1.34
3.86, 0.93, 1.34
4.33, 0.42, 1.41
4.92, 0.22, 1.41
